name,oid,kind,type,range,access,defval,syntax,parent_table
"preemptMinimumGreen","1.3.6.1.4.1.1206.4.2.1.6.2.1.6",column,"INTEGER","0 .. 255","read-write","255","INTEGER (0..255)","preemptTable"
"preemptMinimumWalk","1.3.6.1.4.1.1206.4.2.1.6.2.1.7",column,"INTEGER","0 .. 255","read-write","255","INTEGER (0..255)","preemptTable"
"preemptEnterPedClear","1.3.6.1.4.1.1206.4.2.1.6.2.1.8",column,"INTEGER","0 .. 255","read-write","255","INTEGER (0..255)","preemptTable"
"preemptTrackGreen","1.3.6.1.4.1.1206.4.2.1.6.2.1.9",column,"INTEGER","0 .. 255","read-write","0","INTEGER (0..255)","preemptTable"
"preemptDwellGreen","1.3.6.1.4.1.1206.4.2.1.6.2.1.10",column,"INTEGER","0 .. 255","read-write","10","INTEGER (0..255)","preemptTable"
"preemptMaximumPresence","1.3.6.1.4.1.1206.4.2.1.6.2.1.11",column,"INTEGER","0 .. 65535","read-write","0","INTEGER (0..65535)","preemptTable"
"preemptTrackPhase","1.3.6.1.4.1.1206.4.2.1.6.2.1.12",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptDwellPhase","1.3.6.1.4.1.1206.4.2.1.6.2.1.13",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptDwellPed","1.3.6.1.4.1.1206.4.2.1.6.2.1.14",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptExitPhase","1.3.6.1.4.1.1206.4.2.1.6.2.1.15",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptState","1.3.6.1.4.1.1206.4.2.1.6.2.1.16",column,"INTEGER (enum)","1 .. 9  (other=1, notActive=2, notActiveWithCall=3, entryStarted=4, trackService=5, dwell=6, linkActive=7, exitStarted=8, maxPresence=9)","read-only","","INTEGER { other (1), notActive (2), notActiveWithCall (3), entryStarted (4), trackService (5), dwell (6), linkActive (7), exitStarted (8), maxPresence (9) }","preemptTable"
"preemptTrackOverlap","1.3.6.1.4.1.1206.4.2.1.6.2.1.17",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptDwellOverlap","1.3.6.1.4.1.1206.4.2.1.6.2.1.18",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptCyclingPhase","1.3.6.1.4.1.1206.4.2.1.6.2.1.19",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptCyclingPed","1.3.6.1.4.1.1206.4.2.1.6.2.1.20",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptCyclingOverlap","1.3.6.1.4.1.1206.4.2.1.6.2.1.21",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","""","OCTET STRING","preemptTable"
"preemptEnterYellowChange","1.3.6.1.4.1.1206.4.2.1.6.2.1.22",column,"INTEGER","0 .. 255","read-write","255","INTEGER (0..255)","preemptTable"
"preemptEnterRedClear","1.3.6.1.4.1.1206.4.2.1.6.2.1.23",column,"INTEGER","0 .. 255","read-write","255","INTEGER (0..255)","preemptTable"
"preemptTrackYellowChange","1.3.6.1.4.1.1206.4.2.1.6.2.1.24",column,"INTEGER","0 .. 255","read-write","255","INTEGER (0..255)","preemptTable"
"preemptTrackRedClear","1.3.6.1.4.1.1206.4.2.1.6.2.1.25",column,"INTEGER","0 .. 255","read-write","255","INTEGER (0..255)","preemptTable"
"preemptEntry","1.3.6.1.4.1.1206.4.2.1.6.2.1",entry,"ROW ENTRY","INDEX { preemptNumber }","not-accessible","","PreemptEntry",""
"preemptControlTable","1.3.6.1.4.1.1206.4.2.1.6.3",table,"TABLE","SEQUENCE OF PreemptControlEntry","not-accessible","","SEQUENCE OF PreemptControlEntry",""
"preemptControlNumber","1.3.6.1.4.1.1206.4.2.1.6.3.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","preemptControlTable"
"preemptControlState","1.3.6.1.4.1.1206.4.2.1.6.3.1.2",column,"INTEGER","0 .. 1","read-write","","INTEGER (0..1)","preemptControlTable"
"preemptControlEntry","1.3.6.1.4.1.1206.4.2.1.6.3.1",entry,"ROW ENTRY","INDEX { preemptControlNumber }","not-accessible","","PreemptControlEntry",""
"ring","1.3.6.1.4.1.1206.4.2.1.7",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxRings","1.3.6.1.4.1.1206.4.2.1.7.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"maxSequences","1.3.6.1.4.1.1206.4.2.1.7.2",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"sequenceTable","1.3.6.1.4.1.1206.4.2.1.7.3",table,"TABLE","SEQUENCE OF SequenceEntry","not-accessible","","SEQUENCE OF SequenceEntry",""
"sequenceNumber","1.3.6.1.4.1.1206.4.2.1.7.3.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","sequenceTable"
"sequenceRingNumber","1.3.6.1.4.1.1206.4.2.1.7.3.1.2",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","sequenceTable"
"sequenceData","1.3.6.1.4.1.1206.4.2.1.7.3.1.3",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","","OCTET STRING","sequenceTable"
"sequenceEntry","1.3.6.1.4.1.1206.4.2.1.7.3.1",entry,"ROW ENTRY","INDEX { sequenceNumber, sequenceRingNumber }","not-accessible","","SequenceEntry",""
"maxRingControlGroups","1.3.6.1.4.1.1206.4.2.1.7.4",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"ringControlGroupTable","1.3.6.1.4.1.1206.4.2.1.7.5",table,"TABLE","SEQUENCE OF RingControlGroupEntry","not-accessible","","SEQUENCE OF RingControlGroupEntry",""
"ringControlGroupNumber","1.3.6.1.4.1.1206.4.2.1.7.5.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","ringControlGroupTable"
"ringControlGroupStopTime","1.3.6.1.4.1.1206.4.2.1.7.5.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","ringControlGroupTable"
"ringControlGroupForceOff","1.3.6.1.4.1.1206.4.2.1.7.5.1.3",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","ringControlGroupTable"
"ringControlGroupMax2","1.3.6.1.4.1.1206.4.2.1.7.5.1.4",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","ringControlGroupTable"
"ringControlGroupMaxInhibit","1.3.6.1.4.1.1206.4.2.1.7.5.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","ringControlGroupTable"
"ringControlGroupPedRecycle","1.3.6.1.4.1.1206.4.2.1.7.5.1.6",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","ringControlGroupTable"
"ringControlGroupRedRest","1.3.6.1.4.1.1206.4.2.1.7.5.1.7",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","ringControlGroupTable"
"ringControlGroupOmitRedClear","1.3.6.1.4.1.1206.4.2.1.7.5.1.8",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","ringControlGroupTable"
"ringControlGroupEntry","1.3.6.1.4.1.1206.4.2.1.7.5.1",entry,"ROW ENTRY","INDEX { ringControlGroupNumber }","not-accessible","","RingControlGroupEntry",""
"ringStatusTable","1.3.6.1.4.1.1206.4.2.1.7.6",table,"TABLE","SEQUENCE OF RingStatusEntry","not-accessible","","SEQUENCE OF RingStatusEntry",""
"ringStatus","1.3.6.1.4.1.1206.4.2.1.7.6.1.1",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","ringStatusTable"
"ringStatusEntry","1.3.6.1.4.1.1206.4.2.1.7.6.1",entry,"ROW ENTRY","INDEX { sequenceRingNumber }","not-accessible","","RingStatusEntry",""
"channel","1.3.6.1.4.1.1206.4.2.1.8",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxChannels","1.3.6.1.4.1.1206.4.2.1.8.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"channelTable","1.3.6.1.4.1.1206.4.2.1.8.2",table,"TABLE","SEQUENCE OF ChannelEntry","not-accessible","","SEQUENCE OF ChannelEntry",""
"channelNumber","1.3.6.1.4.1.1206.4.2.1.8.2.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","channelTable"
"channelControlSource","1.3.6.1.4.1.1206.4.2.1.8.2.1.2",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","channelTable"
"channelControlType","1.3.6.1.4.1.1206.4.2.1.8.2.1.3",column,"INTEGER (enum)","1 .. 4  (other=1, phaseVehicle=2, phasePedestrian=3, overlap=4)","read-write","","INTEGER { other (1), phaseVehicle (2), phasePedestrian (3), overlap (4) }","channelTable"
"channelFlash","1.3.6.1.4.1.1206.4.2.1.8.2.1.4",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","channelTable"
"channelDim","1.3.6.1.4.1.1206.4.2.1.8.2.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","channelTable"
"channelEntry","1.3.6.1.4.1.1206.4.2.1.8.2.1",entry,"ROW ENTRY","INDEX { channelNumber }","not-accessible","","ChannelEntry",""
"maxChannelStatusGroups","1.3.6.1.4.1.1206.4.2.1.8.3",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"channelStatusGroupTable","1.3.6.1.4.1.1206.4.2.1.8.4",table,"TABLE","SEQUENCE OF ChannelStatusGroupEntry","not-accessible","","SEQUENCE OF ChannelStatusGroupEntry",""
"channelStatusGroupNumber","1.3.6.1.4.1.1206.4.2.1.8.4.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","channelStatusGroupTable"
"channelStatusGroupReds","1.3.6.1.4.1.1206.4.2.1.8.4.1.2",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","channelStatusGroupTable"
"channelStatusGroupYellows","1.3.6.1.4.1.1206.4.2.1.8.4.1.3",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","channelStatusGroupTable"
"channelStatusGroupGreens","1.3.6.1.4.1.1206.4.2.1.8.4.1.4",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","channelStatusGroupTable"
"channelStatusGroupEntry","1.3.6.1.4.1.1206.4.2.1.8.4.1",entry,"ROW ENTRY","INDEX { channelStatusGroupNumber }","not-accessible","","ChannelStatusGroupEntry",""
"overlap","1.3.6.1.4.1.1206.4.2.1.9",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxOverlaps","1.3.6.1.4.1.1206.4.2.1.9.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"overlapTable","1.3.6.1.4.1.1206.4.2.1.9.2",table,"TABLE","SEQUENCE OF OverlapEntry","not-accessible","","SEQUENCE OF OverlapEntry",""
"overlapNumber","1.3.6.1.4.1.1206.4.2.1.9.2.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","overlapTable"
"overlapType","1.3.6.1.4.1.1206.4.2.1.9.2.1.2",column,"INTEGER (enum)","1 .. 3  (other=1, normal=2, minusGreenYellow=3)","read-only","","INTEGER { other(1), normal (2), minusGreenYellow (3) }","overlapTable"
"overlapIncludedPhases","1.3.6.1.4.1.1206.4.2.1.9.2.1.3",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","","OCTET STRING","overlapTable"
"overlapModifierPhases","1.3.6.1.4.1.1206.4.2.1.9.2.1.4",column,"OCTET STRING","length 0 .. 65535 bytes","read-write","","OCTET STRING","overlapTable"
"overlapTrailGreen","1.3.6.1.4.1.1206.4.2.1.9.2.1.5",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","overlapTable"
"overlapTrailYellow","1.3.6.1.4.1.1206.4.2.1.9.2.1.6",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","overlapTable"
"overlapTrailRed","1.3.6.1.4.1.1206.4.2.1.9.2.1.7",column,"INTEGER","0 .. 255","read-write","","INTEGER (0..255)","overlapTable"
"overlapEntry","1.3.6.1.4.1.1206.4.2.1.9.2.1",entry,"ROW ENTRY","INDEX { overlapNumber }","not-accessible","","OverlapEntry",""
"maxOverlapStatusGroups","1.3.6.1.4.1.1206.4.2.1.9.3",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"overlapStatusGroupTable","1.3.6.1.4.1.1206.4.2.1.9.4",table,"TABLE","SEQUENCE OF OverlapStatusGroupEntry","not-accessible","","SEQUENCE OF OverlapStatusGroupEntry",""
"overlapStatusGroupNumber","1.3.6.1.4.1.1206.4.2.1.9.4.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","overlapStatusGroupTable"
"overlapStatusGroupReds","1.3.6.1.4.1.1206.4.2.1.9.4.1.2",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","overlapStatusGroupTable"
"overlapStatusGroupYellows","1.3.6.1.4.1.1206.4.2.1.9.4.1.3",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","overlapStatusGroupTable"
"overlapStatusGroupGreens","1.3.6.1.4.1.1206.4.2.1.9.4.1.4",column,"INTEGER","0 .. 255","read-only","","INTEGER (0..255)","overlapStatusGroupTable"
"overlapStatusGroupEntry","1.3.6.1.4.1.1206.4.2.1.9.4.1",entry,"ROW ENTRY","INDEX { overlapStatusGroupNumber }","not-accessible","","OverlapStatusGroupEntry",""
"ts2port1","1.3.6.1.4.1.1206.4.2.1.10",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"maxPort1Addresses","1.3.6.1.4.1.1206.4.2.1.10.1",scalar,"INTEGER","1 .. 255","read-only","","INTEGER (1..255)",""
"port1Table","1.3.6.1.4.1.1206.4.2.1.10.2",table,"TABLE","SEQUENCE OF Port1Entry","not-accessible","","SEQUENCE OF Port1Entry",""
"port1Number","1.3.6.1.4.1.1206.4.2.1.10.2.1.1",column,"INTEGER","1 .. 255 [INDEX]","read-only","","INTEGER (1..255)","port1Table"
"port1DevicePresent","1.3.6.1.4.1.1206.4.2.1.10.2.1.2",column,"INTEGER","0 .. 1","read-write","","INTEGER (0..1)","port1Table"
"port1Frame40Enable","1.3.6.1.4.1.1206.4.2.1.10.2.1.3",column,"INTEGER","0 .. 1","read-write","","INTEGER (0..1)","port1Table"
"port1Status","1.3.6.1.4.1.1206.4.2.1.10.2.1.4",column,"INTEGER (enum)","1 .. 3  (other=1, online=2, responseFault=3)","read-only","","INTEGER { other (1), online (2), responseFault (3) }","port1Table"
"port1FaultFrame","1.3.6.1.4.1.1206.4.2.1.10.2.1.5",column,"INTEGER","0 .. 255","read-only","","INTEGER  (0..255)","port1Table"
"port1Entry","1.3.6.1.4.1.1206.4.2.1.10.2.1",entry,"ROW ENTRY","INDEX { port1Number }","not-accessible","","Port1Entry",""
"ascBlock","1.3.6.1.4.1.1206.4.2.1.11",node,"OBJECT IDENTIFIER","(branch node)","read-only","","",""
"ascBlockGetControl","1.3.6.1.4.1.1206.4.2.1.11.1",scalar,"OCTET STRING","length 2 .. 12 bytes","read-write","","OCTET STRING (SIZE(2..12))",""
"ascBlockData","1.3.6.1.4.1.1206.4.2.1.11.2",scalar,"OCTET STRING","length 2 .. 484 bytes","read-write","","OCTET STRING (SIZE(2..484))",""
"ascBlockErrorStatus","1.3.6.1.4.1.1206.4.2.1.11.3",scalar,"INTEGER","0 .. 65535","read-only","","INTEGER (0..65535)",""
