phase,name,instance_oid,access,syntax,status,detail,old_value,new_value
set-readback,phaseControlGroupPhaseOmit,1.3.6.1.4.1.1206.4.2.1.1.5.1.2.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseControlGroupVehCall,1.3.6.1.4.1.1206.4.2.1.1.5.1.6.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseDynamicMaxLimit,1.3.6.1.4.1.1206.4.2.1.1.2.1.18.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseDynamicMaxStep,1.3.6.1.4.1.1206.4.2.1.1.2.1.19.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseMaximum1,1.3.6.1.4.1.1206.4.2.1.1.2.1.6.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseMaximum2,1.3.6.1.4.1.1206.4.2.1.1.2.1.7.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseMaximumInitial,1.3.6.1.4.1.1206.4.2.1.1.2.1.12.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseMinimumGap,1.3.6.1.4.1.1206.4.2.1.1.2.1.17.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseMinimumGreen,1.3.6.1.4.1.1206.4.2.1.1.2.1.4.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseOptions,1.3.6.1.4.1.1206.4.2.1.1.2.1.21.1,read-write,INTEGER (0..65535),PASS,invalid Set rejected,65535,0
set-readback,phasePassage,1.3.6.1.4.1.1206.4.2.1.1.2.1.5.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phasePedestrianClear,1.3.6.1.4.1.1206.4.2.1.1.2.1.3.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseRedClear,1.3.6.1.4.1.1206.4.2.1.1.2.1.9.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseRedRevert,1.3.6.1.4.1.1206.4.2.1.1.2.1.10.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseReduceBy,1.3.6.1.4.1.1206.4.2.1.1.2.1.16.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseRing,1.3.6.1.4.1.1206.4.2.1.1.2.1.22.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseStartup,1.3.6.1.4.1.1206.4.2.1.1.2.1.20.1,read-write,"INTEGER { other (1), phaseNotOn (2), greenWalk (3), greenNoWalk (4), yellowChang",PASS,invalid Set rejected,6,1
set-readback,phaseTimeBeforeReduction,1.3.6.1.4.1.1206.4.2.1.1.2.1.13.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseTimeToReduce,1.3.6.1.4.1.1206.4.2.1.1.2.1.15.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseWalk,1.3.6.1.4.1.1206.4.2.1.1.2.1.2.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,phaseYellowChange,1.3.6.1.4.1.1206.4.2.1.1.2.1.8.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,port1DevicePresent,1.3.6.1.4.1.1206.4.2.1.10.2.1.2.1,read-write,INTEGER (0..1),PASS,invalid Set rejected,1,0
set-readback,port1Frame40Enable,1.3.6.1.4.1.1206.4.2.1.10.2.1.3.1,read-write,INTEGER (0..1),PASS,invalid Set rejected,1,0
set-readback,preemptControl,1.3.6.1.4.1.1206.4.2.1.6.2.1.2.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,0,1
set-readback,preemptControlState,1.3.6.1.4.1.1206.4.2.1.6.3.1.2.1,read-write,INTEGER (0..1),PASS,invalid Set rejected,1,0
