name,kind,def_oid,inst_oid,access,syntax,default
ascBlockGetControl,scalar,1.3.6.1.4.1.1206.4.2.1.11.1,1.3.6.1.4.1.1206.4.2.1.11.1.0,read-write,OCTET STRING (SIZE(2..12)),'ZZZZZZZZZZZZ'
ascBlockData,scalar,1.3.6.1.4.1.1206.4.2.1.11.2,1.3.6.1.4.1.1206.4.2.1.11.2.0,read-write,OCTET STRING (SIZE(2..484)),'ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ... (255 bytes)
ascBlockErrorStatus,scalar,1.3.6.1.4.1.1206.4.2.1.11.3,1.3.6.1.4.1.1206.4.2.1.11.3.0,read-only,INTEGER (0..65535),65535
detector,branch,1.3.6.1.4.1.1206.4.2.1.2,—,read-only,,—
maxVehicleDetectors,scalar,1.3.6.1.4.1.1206.4.2.1.2.1,1.3.6.1.4.1.1206.4.2.1.2.1.0,read-only,INTEGER (1..255),255
vehicleDetectorTable,table,1.3.6.1.4.1.1206.4.2.1.2.2,—,not-accessible,SEQUENCE OF VehicleDetectorEntry,—
vehicleDetectorEntry,entry,1.3.6.1.4.1.1206.4.2.1.2.2.1,—,not-accessible,VehicleDetectorEntry,—
vehicleDetectorNumber,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.1,1.3.6.1.4.1.1206.4.2.1.2.2.1.1.1,read-only,INTEGER (1..255),1
vehicleDetectorMaxPresence,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.10,1.3.6.1.4.1.1206.4.2.1.2.2.1.10.1,read-write,INTEGER (0..255),255
vehicleDetectorErraticCounts,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.11,1.3.6.1.4.1.1206.4.2.1.2.2.1.11.1,read-write,INTEGER (0..255),255
vehicleDetectorFailTime,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.12,1.3.6.1.4.1.1206.4.2.1.2.2.1.12.1,read-write,INTEGER (0..255),255
vehicleDetectorAlarms,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.13,1.3.6.1.4.1.1206.4.2.1.2.2.1.13.1,read-only,INTEGER (0..255),255
vehicleDetectorReportedAlarms,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.14,1.3.6.1.4.1.1206.4.2.1.2.2.1.14.1,read-only,INTEGER (0..255),255
vehicleDetectorReset,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.15,1.3.6.1.4.1.1206.4.2.1.2.2.1.15.1,read-write,INTEGER (0..1),1
vehicleDetectorOptions,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.2,1.3.6.1.4.1.1206.4.2.1.2.2.1.2.1,read-write,INTEGER (0..255),255
vehicleDetectorCallPhase,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.4,1.3.6.1.4.1.1206.4.2.1.2.2.1.4.1,read-write,INTEGER (0..255),255
vehicleDetectorSwitchPhase,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.5,1.3.6.1.4.1.1206.4.2.1.2.2.1.5.1,read-write,INTEGER (0..255),255
vehicleDetectorDelay,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.6,1.3.6.1.4.1.1206.4.2.1.2.2.1.6.1,read-write,INTEGER (0..65535),65535
vehicleDetectorExtend,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.7,1.3.6.1.4.1.1206.4.2.1.2.2.1.7.1,read-write,INTEGER (0..255),255
vehicleDetectorQueueLimit,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.8,1.3.6.1.4.1.1206.4.2.1.2.2.1.8.1,read-write,INTEGER (0..255),255
vehicleDetectorNoActivity,column,1.3.6.1.4.1.1206.4.2.1.2.2.1.9,1.3.6.1.4.1.1206.4.2.1.2.2.1.9.1,read-write,INTEGER (0..255),255
maxVehicleDetectorStatusGroups,scalar,1.3.6.1.4.1.1206.4.2.1.2.3,1.3.6.1.4.1.1206.4.2.1.2.3.0,read-only,INTEGER (1..255),255
vehicleDetectorStatusGroupTable,table,1.3.6.1.4.1.1206.4.2.1.2.4,—,not-accessible,SEQUENCE OF VehicleDetectorStatusGroupEntry,—
vehicleDetectorStatusGroupEntry,entry,1.3.6.1.4.1.1206.4.2.1.2.4.1,—,not-accessible,VehicleDetectorStatusGroupEntry,—
vehicleDetectorStatusGroupNumber,column,1.3.6.1.4.1.1206.4.2.1.2.4.1.1,1.3.6.1.4.1.1206.4.2.1.2.4.1.1.1,read-only,INTEGER (1..255),1
vehicleDetectorStatusGroupActive,column,1.3.6.1.4.1.1206.4.2.1.2.4.1.2,1.3.6.1.4.1.1206.4.2.1.2.4.1.2.1,read-only,INTEGER (0..255),255
vehicleDetectorStatusGroupAlarms,column,1.3.6.1.4.1.1206.4.2.1.2.4.1.3,1.3.6.1.4.1.1206.4.2.1.2.4.1.3.1,read-only,INTEGER (0..255),255
volumeOccupancyReport,branch,1.3.6.1.4.1.1206.4.2.1.2.5,—,read-only,,—
volumeOccupancySequence,scalar,1.3.6.1.4.1.1206.4.2.1.2.5.1,1.3.6.1.4.1.1206.4.2.1.2.5.1.0,read-only,INTEGER (0..255),255
volumeOccupancyPeriod,scalar,1.3.6.1.4.1.1206.4.2.1.2.5.2,1.3.6.1.4.1.1206.4.2.1.2.5.2.0,read-write,INTEGER (0..255),255
activeVolumeOccupancyDetectors,scalar,1.3.6.1.4.1.1206.4.2.1.2.5.3,1.3.6.1.4.1.1206.4.2.1.2.5.3.0,read-only,INTEGER (0..255),255
volumeOccupancyTable,table,1.3.6.1.4.1.1206.4.2.1.2.5.4,—,not-accessible,SEQUENCE OF VolumeOccupancyEntry,—
volumeOccupancyEntry,entry,1.3.6.1.4.1.1206.4.2.1.2.5.4.1,—,not-accessible,VolumeOccupancyEntry,—
detectorVolume,column,1.3.6.1.4.1.1206.4.2.1.2.5.4.1.1,1.3.6.1.4.1.1206.4.2.1.2.5.4.1.1.1,read-only,INTEGER (0..255),255
detectorOccupancy,column,1.3.6.1.4.1.1206.4.2.1.2.5.4.1.2,1.3.6.1.4.1.1206.4.2.1.2.5.4.1.2.1,read-only,INTEGER (0..255),255
maxPedestrianDetectors,scalar,1.3.6.1.4.1.1206.4.2.1.2.6,1.3.6.1.4.1.1206.4.2.1.2.6.0,read-only,INTEGER (1..255),255
pedestrianDetectorTable,table,1.3.6.1.4.1.1206.4.2.1.2.7,—,not-accessible,SEQUENCE OF PedestrianDetectorEntry,—
pedestrianDetectorEntry,entry,1.3.6.1.4.1.1206.4.2.1.2.7.1,—,not-accessible,PedestrianDetectorEntry,—
pedestrianDetectorNumber,column,1.3.6.1.4.1.1206.4.2.1.2.7.1.1,1.3.6.1.4.1.1206.4.2.1.2.7.1.1.1,read-only,INTEGER (1..255),1
